Site,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,sylacauga,kankakee,kankakee,kankakee,kankakee,kankakee,kankakee,kankakee,kankakee,kankakee,kankakee,kankakee,sumas,sumas,sumas,sumas,sumas,sumas,sumas,sumas,sumas,sumas,sumas,calgary,calgary,calgary,calgary,calgary,calgary,calgary,calgary,calgary,calgary,calgary,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hillsboro,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,hawkesbury,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,ig brampton,bramcal,bramcal,bramcal,bramcal,bramcal,bramcal,bramcal,bramcal,bramcal,bramcal,bramcal,maximix,maximix,maximix,maximix,maximix,maximix,maximix,maximix,maximix,maximix,maximix,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,crc toronto,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,appleybridge,alconbury,alconbury,alconbury,alconbury,alconbury,alconbury,alconbury,alconbury,alconbury,alconbury,alconbury,madoc,madoc,madoc,madoc,madoc,madoc,madoc,madoc,madoc,madoc,madoc,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft,ashcroft
KPI metric,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL,MLH V KLH,LHC-LLCA,WONCP,JPC,PMCOTT,MROPRLM,SWO,ASPCWC,CC,WOFW,IILSPL
October,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,Error Tables Not Found,Error Tables Not Found,-,-,-,-,-,-,0,-,-,Error Tables Not Found,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,Error Tables Not Found,-,0,-,-,-,Error Tables Not Found,-,-,-,-,Error Tables Not Found,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,Error Tables Not Found,-,-,-,-,0,-,-,-
November,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,Error Tables Not Found,Error Tables Not Found,-,-,-,-,-,-,0,-,-,Error Tables Not Found,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,Error Tables Not Found,-,0,-,-,-,Error Tables Not Found,-,-,-,-,Error Tables Not Found,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,Error Tables Not Found,-,-,-,-,0,-,-,-
December,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,Error Tables Not Found,Error Tables Not Found,-,-,-,-,-,-,0,-,-,Error Tables Not Found,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,Error Tables Not Found,-,0,-,-,-,Error Tables Not Found,-,-,-,-,Error Tables Not Found,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,Error Tables Not Found,-,-,-,-,0,-,-,-
January,42%,91%,100%,2,79%,88%,78%,6067,385,79%,45%,73%,95%,100%,5,57%,79%,77%,10414,216,100%,0%,34%,89%,97%,6,55%,94%,66%,1384,4,27%,1%,65%,88%,58%,1,53%,84%,84%,7555,67,0%,24%,78%,100%,80%,0,62%,74%,68%,2695,"1,027",100%,6%,64%,62%,94%,0,75%,91%,79%,9228,78,11%,78%,14%,93%,100%,0,73%,81%,88%,1357,473,12%,-,2%,100%,100%,1,100%,0%,0%,136,0,-,Error Tables Not Found,Error Tables Not Found,100%,-1%,0,100%,-,95%,0,0,-,Error Tables Not Found,78%,100%,79%,0,92%,98%,87%,288,260,1%,5%,21%,99%,100%,0,52%,Error Tables Not Found,22%,0,0,0%,-,Error Tables Not Found,100%,100%,0,-,Error Tables Not Found,0%,0,0,0%,100%,55%,99%,66%,6,86%,56%,87%,7467,1,86%,43%,55%,100%,Error Tables Not Found,13,75%,90%,86%,0,55,79%,49%
February,65%,94%,98%,1,76%,86%,71%,6171,538,100%,26%,72%,97%,100%,17,55%,94%,78%,10448,747,100%,8%,22%,84%,98%,6,62%,96%,75%,1388,2,36%,2%,70%,92%,56%,1,58%,90%,78%,7607,62,0%,53%,22%,100%,82%,0,47%,94%,78%,2786,637,100%,2%,50%,68%,85%,1,65%,87%,80%,9244,41,8%,79%,57%,97%,98%,0,76%,17%,38%,1360,767,37%,-,3%,100%,100%,0,62%,0%,0%,136,0,-,Error Tables Not Found,Error Tables Not Found,100%,0%,0,100%,-,91%,0,0,0%,Error Tables Not Found,76%,100%,97%,0,90%,88%,89%,288,278,0%,-,29%,100%,100%,0,55%,Error Tables Not Found,28%,0,0,0%,-,Error Tables Not Found,100%,100%,0,-,Error Tables Not Found,0%,1,0,0%,100%,56%,100%,78%,12,79%,58%,77%,7527,1,89%,68%,56%,99%,Error Tables Not Found,4,64%,85%,76%,3,71,80%,58%
March,70%,92%,99%,0,85%,83%,70%,6337,230,100%,62%,83%,97%,99%,19,66%,93%,81%,10465,"1,561",100%,12%,23%,85%,98%,6,51%,96%,83%,1395,11,46%,4%,73%,90%,70%,15,64%,89%,80%,7621,189,0%,36%,48%,99%,90%,8,68%,66%,52%,3108,81,100%,53%,52%,63%,94%,20,69%,88%,82%,9278,56,12%,79%,94%,100%,96%,7,55%,69%,91%,1368,"1,827",50%,-,2%,100%,100%,0,80%,0%,0%,136,0,-,Error Tables Not Found,Error Tables Not Found,100%,0%,0,100%,-,52%,0,0,-,Error Tables Not Found,85%,100%,84%,0,90%,96%,92%,288,249,0%,7%,30%,99%,99%,1,60%,Error Tables Not Found,38%,0,0,1%,-,Error Tables Not Found,100%,100%,0,-,Error Tables Not Found,0%,1,0,0%,100%,57%,100%,67%,23,82%,54%,83%,8265,1,79%,59%,59%,99%,Error Tables Not Found,0,60%,76%,80%,5,79,84%,58%
April,73%,95%,99%,15,73%,74%,75%,6408,294,100%,52%,74%,97%,97%,4,57%,86%,73%,10471,963,100%,9%,31%,78%,97%,12,55%,90%,76%,1418,1,38%,3%,75%,87%,83%,1,69%,78%,81%,7624,57,5%,54%,51%,100%,88%,14,66%,82%,50%,3237,"2,499",100%,15%,51%,67%,80%,0,61%,90%,74%,9300,41,10%,73%,35%,97%,99%,37,67%,69%,83%,1375,"1,159",60%,-,3%,100%,100%,0,80%,0%,0%,136,0,-,Error Tables Not Found,Error Tables Not Found,100%,-1%,0,87%,-,72%,0,0,-,Error Tables Not Found,89%,100%,79%,0,94%,93%,90%,288,268,0%,7%,35%,99%,98%,0,53%,Error Tables Not Found,35%,0,0,0%,-,Error Tables Not Found,100%,100%,0,-,Error Tables Not Found,0%,1,0,0%,-,54%,99%,73%,50,82%,66%,86%,8625,12,76%,61%,62%,99%,Error Tables Not Found,2,66%,87%,82%,5,82,70%,60%
May,69%,94%,98%,11,87%,76%,77%,6451,160,100%,27%,83%,98%,99%,1,80%,36%,66%,10475,672,100%,5%,34%,87%,98%,6,62%,92%,74%,1431,1,43%,0%,65%,87%,66%,0,56%,83%,80%,7627,"1,307",0%,11%,84%,97%,93%,1,71%,94%,37%,4275,286,100%,47%,49%,65%,91%,3,75%,90%,75%,9321,659,8%,67%,101%,99%,100%,9,65%,71%,85%,1374,"1,342",58%,-,6%,100%,100%,0,67%,0%,0%,136,0,0%,Error Tables Not Found,Error Tables Not Found,100%,-1%,0,92%,-,53%,34,0,-,Error Tables Not Found,97%,100%,65%,0,94%,96%,90%,288,299,1%,12%,18%,99%,99%,8,64%,Error Tables Not Found,36%,0,0,0%,-,Error Tables Not Found,94%,97%,1,0%,Error Tables Not Found,0%,1,0,0%,100%,54%,99%,81%,0,73%,54%,85%,8636,0,76%,60%,62%,98%,Error Tables Not Found,2,72%,78%,81%,5,68,83%,50%
June,68%,89%,97%,4,84%,82%,78%,6482,199,100%,60%,85%,97%,100%,1,81%,95%,72%,10479,495,100%,15%,30%,90%,98%,9,58%,93%,79%,1438,0,44%,1%,76%,87%,55%,1,51%,92%,82%,7631,"1,621",2%,4%,68%,100%,92%,0,62%,89%,57%,4516,440,100%,37%,73%,65%,79%,0,60%,85%,87%,9335,829,6%,75%,81%,100%,99%,5,57%,78%,75%,1375,"1,337",65%,-,3%,100%,100%,0,86%,0%,0%,136,0,0%,Error Tables Not Found,Error Tables Not Found,100%,-1%,0,69%,-,79%,51,0,-,Error Tables Not Found,96%,100%,78%,0,97%,84%,93%,288,290,1%,19%,35%,99%,99%,1,84%,Error Tables Not Found,31%,0,0,0%,-,Error Tables Not Found,100%,100%,1,0%,Error Tables Not Found,0%,1,0,0%,-,58%,100%,73%,1,81%,58%,84%,8646,0,76%,57%,57%,100%,Error Tables Not Found,0,56%,69%,84%,6,41,75%,77%
